Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Organizing Your Remote Office for Maximum Productivity,"Working remotely gives you amazing freedom, but how you set up your office makes all the difference. To maximize your productivity, you need to be able to easily transition from home life to work life and back again. From setting up your physical space to managing your digital life, author and productivity expert Paula Rizzo can help you get more done when working remotely. Learn to harness your personal productivity style to create an intentional workspace; adapt any room, regardless of size; choose the right equipment and technology; present better during video meetings; organize your documents and files; and set boundaries with those you share space with. Plus, learn to plan ahead to take your workspace on the road—wherever business takes you.",Course,2021-01-07 16:06 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2806714,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2806714,Course,2019-10-29 17:02 UTC,N/A,false,N/A,
Lighting with Flash: Capturing a Dancer in Motion,"In this installment of the <em>Lighting with Flash</em> series, photographer and Strobist.com publisher David Hobby demonstrates using strobes to freeze action while capturing the strength and grace of a dancer in motion. After working through the lighting challenges of a dance studio, David sets up a white, seamless background and shoots some test shots, adjusting the flash units to create a white ""blow-away"" background that will enable the photo to be easily composited. Next, he photographs the dancer, working with her to capture a relaxed expression as she leaps and strikes various poses. After the action shots, David lights and shoots a portrait.",Course,2019-12-20 23:28 UTC,N/A,false,N/A,
Influencer Interview: Oprah Winfrey,"Go behind the scenes with Oprah Winfrey and LinkedIn CEO Jeff Weiner as they discuss Oprah's career, the power of intention, and SuperSoul Sunday.<br><br>
 
In the first segment, Oprah discusses her start in television, the guiding force behind her show, and how her current work is all about connection, spirituality, and the earth. In the second, Oprah talks about the power of belief and intention, and how to determine what ""you ultimately want to do"" and the joy of ""getting it."" In the final segment, Oprah talks about SuperSoul Sunday and how we are all looking for validation.",Course,2020-01-22 04:06 UTC,N/A,false,N/A,
Developing Self-Awareness,"While a multitude of factors can go into the making of a successful person, nearly all individuals who achieve high levels of personal and professional success have a keen sense of self-awareness. In this course, learn how to become more self-aware in order to develop yourself personally and enhance career progression. Organizational psychologist Gemma Roberts helps you learn how to develop your self-awareness so that you can understand how others see you, and better align your actions with your intentions. She explains how to identify beliefs to enhance self-awareness, step outside of yourself to gain a different perspective, leverage a self-awareness action plan, and more.",Course,2019-02-01 15:40 UTC,N/A,false,N/A,
Entrepreneurship Foundations,"Join Kim Kaupe as she shares the steps to becoming a successful entrepreneur. Kim begins by providing a set of tools to assess a potential business opportunity, outlines some of the challenges you might face, and offers a formula for starting small and creating your new company. She covers how to raise funds and the importance of having the right tools available. She also identifies the important people in the process of entrepreneurship and how each plays a powerful role in your success. Finally, Kim shares how to find a tribe of supporters and how to scale your new business.",Course,2021-01-12 16:53 UTC,N/A,false,N/A,
Additive Manufacturing: Troubleshooting 3D Prints (2018),"3D printing is has come a long way, but there are still many things that can derail the printing process. This course helps you avoid problems in advance, and when they do come up, it helps you solve them. Rich Cameron and Joan Horvath of Nonscriptum LLC—the maker tech training company—review common 3D print problems, and show how to fix them by making changes to the model, orientation, or printer settings. Learn what to do when your print doesn't stick to the print bed; when you see pimples, dimples, or stringing; have cooling issues; or the walls of your print are too thin. Joan and Rich also help identify and fix software-related issues with your host and slicer programs, and keep track of changes as you debug, in case you need to roll back to a previous version of your design.",Course,2020-03-24 19:23 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2806713,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2806713,Course,2019-11-22 15:47 UTC,N/A,false,N/A,
Modeling Courageous Leadership: Intelligent Disobedience,"""Intelligent disobedience"" allows service animals to interpret commands in a way that honors their owner's intent, while avoiding hazards they might not anticipate. In this course, Bob McGannon, PMP, shows how intelligent disobedience translates to the business world and how it can help you become a more courageous leader. Learn how to challenge strict orders, voice unpopular opinions, take risks, and come up with creative solutions, all while keeping stakeholders' goals in mind.",Course,2019-03-21 19:58 UTC,N/A,false,N/A,
Chair Work: Yoga Fitness and Stretching at Your Desk,"Find time for fitness. Learn simple yoga and stretching exercises you can do at your desk. The instructors at Desk Yogi have adapted traditional yoga poses into exercises that are suitable for the office. Follow along and learn basic stretches, bends, and exercises that help you improve your posture, strengthen your muscles and joints, increase blood flow, and keep you feeling strong and energetic throughout the day. This simple daily investment in your body—a program you can complete on your lunch break—will carry your through the work week and beyond.<br><br>Note: This course was created and produced by <a href=""https://www.desk-yogi.com"" target=""_blank"">Desk Yogi</a>.",Course,2020-09-24 17:57 UTC,N/A,false,N/A,
Giving Your Elevator Pitch,"It's important to make a good impression in just the first few minutes you spend with potential mentors, clients, or even friends. In this short course, author and business coach Dr. Todd Dewett explains how to tell others what you do and make a memorable impression in a short period of time with a personal ""elevator pitch."" Maximize your connection in a minimal amount of time, and start making valuable additions to your network from the get-go.",Course,2019-02-18 14:07 UTC,N/A,false,N/A,
Building Your Visibility as a Leader,"Leaders need to be visible to make an impact. But cultivating your reputation as a leader and expert takes effort and requires a strategic approach. Before you can become the first person your target audience thinks about when they need help or information, you must lay the groundwork by creating and sharing the right content with the right people. In this course,  author and speaker Jason Schenker shows you how. Get practical strategies for projecting leadership and boosting your professional visibility, including how to identify the primary audience you want to target and use podcasts, books, and digital media to your advantage. Plus, learn how to demonstrate authenticity and overcome fears that may be holding you back.",Course,2021-06-05 19:23 UTC,N/A,false,N/A,
Letting an Employee Go (2014),"All managers know they need to invest extra resources in developing underperforming employees. But at some point, you need to stop that investment and start the process of letting an employee go. In this course, author and business coach Dr. Todd Dewett walks you through the factors you need to consider and plan for before letting an employee go. He provides advice on preparing your pre-meeting work and conducting the termination meeting to minimize difficulty. The course includes reenactments of a typical termination meeting, showing realistic examples for you to consider.",Course,2019-02-19 20:43 UTC,N/A,false,N/A,
Sheryl Sandberg and Adam Grant on Option B: Building Resilience,"Dodging adversity is often not a choice. Encountering a devastating event—the gut-wrenching kind that zaps away joy—is an inevitability of life. In their <em>New York Times</em> best-selling book <em>Option B: Facing Adversity, Building Resilience, and Finding Joy</em>, Facebook COO Sheryl Sandberg and Wharton psychologist Adam Grant share their insights on building resilience in the face of such setbacks. They offer practical steps you can take to reimagine and rebuild your life when your first choice—your Option A—is no longer on the table, and you're faced with the task of making the absolute best of Option B. This course highlights some of the powerful topics in this book, including how to talk to friends and colleagues who are hurting when you're not sure what to say, how to fight the idea that the hurt you're feeling is permanent, and how to give yourself permission to experience happiness again.<br><br> For additional resources and support, check out <a href=""https://optionb.org/"" target=""_blank""> OptionB.Org</a>, a nonprofit initiative dedicated to helping individuals build resilience in the face of adversity.",Course,2018-07-11 12:29 UTC,N/A,false,N/A,
Guy Kawasaki on How to Rock Social Media,"Entrepreneur and social media expert Guy Kawasaki—who has 1.4 million Twitter followers and more than a quarter million likes on Facebook—shares his experience and knowledge about how to be successful on social media for personal and professional branding. He offers profile optimization tips, discusses great techniques for crafting and distributing shareable content, explores how to best engage with fans and followers, provides tips specific to each major social media platform, and explains how to best integrate social media with a blog.",Course,2020-04-13 04:39 UTC,N/A,false,N/A,
How to Create and Run a Brilliant Remote Workshop,"Get practical advice, techniques, and frameworks to help you develop and run effective remote workshops. With in-person professional gatherings halted due to COVID-19, expert Dave Birss can teach you how to create and run a remote workshop that will have an impact and help you achieve your business goals. Using engaging examples and his signature humor, Dave walks you through preparing for a great remote workshop, selecting the right technology, engaging participants, working with the output of a remote workshop, and more. You can also get tips to move an existing workshop from an offline event to an online one, and facilitate a successful workshop that benefits all participants.<br><br>

This course was created by Dave Birss. We are pleased to offer this training in our library.",Course,2021-02-28 07:28 UTC,N/A,false,N/A,
Extreme Productivity (Blinkist Summary),"Boosting your productivity doesn't need to mean squeezing more hours into your work week. In fact, true productivity usually happens when you learn how to expend minimal energy for maximum results. In this audiobook summary, get bite-sized tips that can help you prioritize tasks, fight procrastination, keep your perfectionism at bay, and generally approach your tasks with greater efficiency. Each lesson is drawn from <i>Extreme Productivity</i>, Robert C. Pozen's 2012 book on how to get better results in less time.</br></br>

<img src=""http://files3.lynda.com/files/course_description_images/BlinkistLogoHorizontal.jpg"" height=""50%"" width=""50%""></br></br>

Note: This audiobook summary was produced by <a href=""https://www.blinkist.com/?utm_source=linkedinlearning&utm_medium=partner&utm_campaign=Extreme-Productivity-Blinkist""target=""_blank"">Blinkist</a>. We are pleased to host this content in our library.",Course,2019-09-02 21:26 UTC,N/A,false,N/A,
Top 5 Speed Reading Tips (2014),"Get the top tips for improving your reading speed and comprehension, whether you read for school, work, or fun. Author Paul Nowak introduces five strategies for getting the most value from what you read, and freeing up more time to apply and practice your knowledge.",Course,2019-01-18 19:44 UTC,N/A,false,N/A,
Outlook: Time Management with Calendar and Tasks,"Learn how to use Outlook's robust calendar and task management features to better organize your work. Outlook expert Gini von Courter explains how to break down your to-do list and prioritize work—valuable time-management techniques that can serve you in any application—and then use different Outlook features to handle each type of task. She shows how to use the Outlook calendar to handle both business and personal schedules, from making appointments for yourself to creating meetings with others. She discusses the difference between Outlook tasks and to-do lists and explains how to create, delegate, and track tasks, as well as send status updates to task owners. She also explains how to use flags to provide visual reminders and add due dates to high-priority emails and tasks.<br><br>

Note: This course was recorded in Office 365, but anyone using a recent version of Outlook—including 2019, 2016, and some earlier versions—will be able to follow along.",Course,2021-03-18 10:14 UTC,N/A,false,N/A,
Are Leaders Born or Made?,"Suzy Welch talks about the five components model of leadership: personal energy, inspirational energy, edge, execution, and passion.",Course,2019-03-15 21:33 UTC,N/A,false,N/A,
Leading the Organization Monthly,"Moving to the C-Suite requires a shift in mindset. The paradox is that it means leading less and delegating more, to create an environment where people are inspired to do their best. For those transitioning from leading others to leading the organization, this course offers tips to adapt to the realities of an executive role and move your leadership abilities forward.  Learn how to inspire confidence, delegate work, identify talent, lead multiple generations, and build a company vision, strategy, and culture. Consultant and former CEO Jan Rutherford provides new tips that will help you succeed in a new C-Suite role.",Course,2019-01-29 19:29 UTC,N/A,false,N/A,
Selling with Empathy during Uncertain Times,"It's only natural that uncertain economic conditions create anxiety for salespeople and buyers alike. But a shift in your focus can help you quiet the fear and show up for customers when they need you most. Join Lisa McLeod as she helps you navigate selling in uncertain times. Lisa and her team have coached hundreds of sales professionals through economic turbulence, product launch failures, and other difficulties. In this course, she provides an empathetic, customer-centric approach to sales that will help you connect with customers, solve their most urgent problems, and identify the most authentic version of yourself. Use these tips to rise to the challenge and turn uncertain times into an opportunity to succeed.",Course,2021-01-26 02:56 UTC,N/A,false,N/A,
Coaching Skills for Leaders and Managers,"Leaders who provide targeted, ongoing coaching to their employees can strengthen their team and add value to their organization. In this course, leadership expert Sara Canaday shares the differences between managing, training, and coaching, and provides managers with coaching models and skills to support the development and growth of their employees. Sara presents the business case for coaching, explores common coaching challenges, and explains how to provide feedback and set goals.",Course,2020-04-17 16:25 UTC,N/A,false,N/A,
LinkedIn Video Marketing for Personal and Brand Pages,"Video is the future of online marketing. It's the content users prefer—and LinkedIn is a great platform to leverage its potential. Over 225 million members are already engaging with video on a monthly basis. So, what are you waiting for? Don't get left behind by the video revolution. This course shows you how to combine the power of video marketing and LinkedIn to attract new customers and clients and increase the awareness for your brand. Goldie Chan, the #1 video creator on LinkedIn, shares her tips and tricks for producing and publishing video natively on the platform. Learn how to find inspiration, choose a video length and theme, meet collaborators, improve discoverability with the right title and tags, and more. With these insider tips, you can learn everything you need to start creating engaging and well-timed videos that grab your audience from the get-go.",Course,2020-02-10 13:45 UTC,N/A,false,N/A,
Building Transparency in Photoshop,"Learn a new trick to give designs and illustrations more depth and volume … transparency! Steve Caplin takes the image of a skull and creates a transparent duplicate, showing you how to replicate the effect in just a few steps. Using the Apply Median filter and the Image Warp and Smudge tools, he transforms the skull into a glass-like structure that reveals and refracts the environment around it. The entire technique takes just 20 minutes.",Course,2020-04-10 01:42 UTC,N/A,false,N/A,
Mel Robbins on Confidence,"In this course, Mel Robbins—an expert on creating confidence, a best-selling author, and the most-booked female speaker in the world—presents relatable, actionable, and proven techniques for building and maintaining confidence at work, at home, and in life. She teaches skills based on behavioral science and real-life experience. Mel shows you the surprising definition of confidence and explains the science of the confidence-competency loop. She debunks three myths about confidence and shows you how to kill doubt and fear in five seconds flat. Mel discusses the three types of confidence and how to build confidence in three simple steps. She concludes with ways you can strengthen your confidence by putting it into action.",Course,2021-11-01 02:43 UTC,N/A,false,N/A,
"How to Work Smarter, Not Harder: Save Time and Money and Increase Productivity","More and more people are working from home, managing remote teams, and juggling multiple projects. The time is now to learn how to work smarter, not harder. Luckily, today’s technology makes it easier than ever to increase productivity and efficiency. This course is for anyone trying to grow their business or move ahead in their career without becoming overwhelmed. Chelsea Krost provides tangible tips, tools, and techniques to increase overall productivity and give you back precious time in the day. Learn how to embrace the mindset of successful entrepreneurs and small business owners, manage your time effectively, tackle your to-do list, leverage automation and delegation, and power up your social media, content marketing, and branding strategies to direct more attention and traffic to your business. Each tool and workflow has been tested by Chelsea and her clients—and the skills taught apply to any industry. Start watching and working smarter today.",Course,2021-05-23 19:37 UTC,N/A,false,N/A,
How Blockchains Will Change Business,"Blockchains are poised to disrupt entrenched industries and shatter conventional business models. Train your brain to see the opportunities and challenges of this next wave of digital change, before the way we do business is again reshaped by new technology. This jargon-free course can help you get up to speed. Join Alison McCauley, the best-selling author of <i>Unblocked: How Blockchains Will Change Your Business (and What to Do about It)</i>, as she goes over what blockchains offer companies, as well as how this technology will impact everything from finance to HR.<br><br>Alison begins by explaining what blockchains accomplish, how they make it safer for everyone to work together, and where they do—and do not—deliver value. Then, she details the new tools that blockchains offer business, including how they can help you discern what's real from what's false in your digital world. Plus, learn how blockchains can impact different departments within your business, from finance to HR.",Course,2021-11-09 04:00 UTC,N/A,false,N/A,
Excel: You Can Do This,"Excel scares a lot of people. Terms like PivotTables, VLOOKUP, and circular references make their heads spin. But once you have a basic grounding in Excel, you can do all these things and more. Follow along with Excel MVP Oz du Soleil in this fast-paced course, as he walks you through features, functions, and commands such as Freeze Panes, Flash Fill, COUNTIFS, and even VLOOKUP. Oz takes the bite out of the most intimidating features in Excel, so you can get more mileage every time you use it.",Course,2020-12-25 02:58 UTC,N/A,false,N/A,
Communicating Across Cultures,"To succeed in a cross-cultural business setting, it's important to understand the differences in how people communicate. Language isn't the only barrier. Pace, style, and nonverbal cues all affect how messages are received. If you do business on a global scale or in a diverse environment, adapting your communication strategy is critical to workplace harmony and the bottom line. In this course, Kelley School of Business professor and executive coach Tatiana Kolovou demonstrates simple techniques to build your cross-cultural communication skills: as a manager, peer, or coworker. Learn how to adapt your communication style, overcome hidden bias, and build rapport with colleagues around the world.",Course,2019-05-22 01:40 UTC,N/A,false,N/A,
The Art of Rotoscoping,"Turn your video footage into a work of art. Learn the basics of rotoscoping to build creative effects and to isolate video elements for compositing or VFX. In this course, instructor and mograph artist Eran Stern starts by diving the history and origin of rotoscoping in film and video, providing the background for subsequent practical techniques. He shows how to transform video into natural art—from pencil sketches to Van Gogh paintings, claymation to chalkboard drawings, watercolors to graffiti, and ink blots, Legos, comic books, pastels, and much more. You can also find out how to use the same foundational techniques to isolate elements for compositing and visual effects work, and create simple character animations. Plus, explore the different software for rotoscoping, from Photoshop and After Effects to professional applications such as Mocha AE.",Course,2021-05-11 19:02 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:693071,Course,2020-06-01 03:28 UTC,N/A,false,N/A,
The Step-by-Step Guide to Building your Thought Leadership on LinkedIn,"Generating business, reaching new clients, or acting as a spokesperson for your company or product—there are many benefits to building your thought leadership on LinkedIn. Whether you are a seasoned professional or just starting out, Alexandra Galviz (""Authentic Alex”) can help. Alex is a Linked Top Voice for the UK and the cofounder of #LinkedInLocal. In this course, she offers a step-by-step guide to using LinkedIn to reach audiences and establish your expertise. She explains how to craft an authentic voice, grow your audience of brand ambassadors, and create courageous content. Each chapter is filled with examples of her favorite thought leaders in the UK, from entrepreneurs to business leaders. By the end, you’ll be sharing your stories in an authentic and relatable way and creating a deeper connection with your network.",Course,2021-05-23 19:36 UTC,N/A,false,N/A,
Scrum: Advanced,"Once you've mastered the basics of scrum, you're ready to take a deeper dive into the popular framework. In this course, learn advanced scrum techniques that can make you and your team even more effective. Kelley O'Connell kicks off the course by reviewing some scrum fundamentals, and explaining how to maximize the effectiveness of your product owner and scrum master roles. Next, Kelley goes into the product owner role, discussing specific ways that you can enhance your product owner skills to make your products unbeatable. She then explores the scrum master role, providing ways that scrum masters can fine-tune their techniques to become better team advocates, and remove impediments that stand in the way of their team's success.",Course,2019-04-01 21:18 UTC,N/A,false,N/A,
Delivering an Authentic Elevator Pitch,"Find out how to craft an authentic personal pitch while projecting competence and warmth—two key factors in making a great first impression. Instructor Tatiana Kolovou shares how building trust with people and making a positive first impression isn’t a matter of magic. Tatiana reveals how verbal and nonverbal behaviors can influence the way people react in an initial meeting, whether in person, over the phone, or online.",Course,2020-10-14 19:52 UTC,N/A,false,N/A,
Leading a Customer-Centric Culture (2013),"What do great companies have in common? Great customer service. Discover how to chart your team on a course that focuses on the customer, with three no-nonsense tips. Jeff Toister discusses how to set a direction, create mile markers, and course correct when things get off track.",Course,2019-05-20 22:01 UTC,N/A,false,N/A,
Organization Design,"In order to attract top talent and execute strategies effectively, it's imperative that you make your company a vibrant, engaging place to work. By gaining a solid foundation in organization design, you can learn how to build a high-performing organization that thrives in a complex business environment. In this course, Amy Kates shares a practical approach to organization design, providing you with a complete overview of the core models, methods, and tools used by organization design practitioners. She shows how to create alignment between components of an organization, select structure and integration options, match talent to an organization, and manage the organization design process.",Course,2018-03-29 02:42 UTC,N/A,false,N/A,
Dealing with Microaggression as an Employee,"In this course, Toni Lowe, a sought-after speaker and senior HR leader specializing in diversity, inclusion, equity, and belonging, teaches you how to identify and address everyday, subtle, intentional and unintentional actions or behaviors that perpetuate bias toward marginalized groups in the workplace. Toni defines microaggression and identifies the three distinct types of microaggressions: microassaults, microinsults, and microinvalidations. While the word ""micro"" means ""small,"" each instance of microaggression has a big impact on the employee experience, physical health, and psychological well-being. Toni provides actionable steps you can take to create safe spaces in the workplace for coping and developing a support system. She discusses how to effectively address past behaviors directly with the offender or through a third party, then walks you through how to deal with microaggressions in real time. Toni concludes with her three-step framework for dealing with microaggression.",Course,2021-04-29 03:57 UTC,N/A,false,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-01-03 03:57 UTC,N/A,false,N/A,
"Bill George on Self-Awareness, Authenticity, and Leadership","Bill George's approach to leadership, based on self-awareness and authenticity, is widely considered the gold standard in the field. Here Bill discusses these two traits of every proven leader. He provides an effective and human approach to not just leadership, but overall self-improvement. Learn how to examine your strengths and weaknesses, solicit honest feedback, and become more authentic in how you behave and lead.",Course,2019-03-29 21:18 UTC,N/A,false,N/A,
Starting a Memorable Conversation,"Both in business and personal life, having the skill to approach a stranger or strike up a conversation with an acquaintance in a new context can be very useful. Memorable conversations can open doors and change career trajectories, but being the person to speak first doesn’t come naturally to all of us. In this course, author Tatiana Kolovou shares a formula for starting meaningful exchanges in any situation and teaches how to conduct an appropriate and memorable conversation. You can also learn about how to avoid common difficulties and find the right way to end a conversation.",Course,2021-07-13 12:32 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2807387,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2807387,Course,2019-12-16 16:39 UTC,N/A,false,N/A,
Developing Your Emotional Intelligence,Emotional intelligence can help you build effective relationships at work. Executive coach and organizational psychologist Gemma Roberts explains what emotional intelligence (EQ) is and why it's important. She helps you become more self-aware so that you can identify triggers that may hijack your performance. Gemma also helps you align your intentions and your impact so that you can build strong and collaborative relationships.,Course,2020-04-23 21:51 UTC,N/A,false,N/A,
Managing High Potentials,"Managing high potentials gives you an opportunity to pave the way for some of your organization's strongest talent. High potentials are employees who are most likely to be promoted to—and succeed in—leadership roles. By strategically helping these professionals to grow and expand their responsibilities, you can have a significant impact on the future or your organization. Leadership expert Sara Canaday helps you understand the mindset and motivations of high potentials so you can meet their expectations and provide them with the appropriate level of support and development.",Course,2020-05-12 00:34 UTC,N/A,false,N/A,
Advanced Branding,"How deeply have you thought about your brand? Is it intentional, or just an afterthought? What does each component—your logo, your website, your service, and even your culture—say to customers? Advanced branding means thinking about what distinguishes your company from the rest, and incorporating it into every single touchpoint of the business: design, messaging, marketing and PR, and company vision. Learn what branding really is, how it works, and how you can build and maintain a more competitive brand, in this course with marketing expert Brad Batesole.<br><br>

Explore best practices for researching, developing, visualizing, and managing your brand, and learn about incorporating your brand throughout various customer touchpoints and keeping tabs on your brand as your company grows.",Course,2019-07-02 09:59 UTC,N/A,false,N/A,
Ken Blanchard on Servant Leadership,"Self-serving leaders can be both destructive and highly ineffective. By making leadership all about them, they create a negative working environment where employees often lack the motivation to produce their best work. In this concise course, Ken Blanchard—a pioneer in the leadership space—shares his insights on servant leadership. Ken discusses practical ways for leaders to implement this approach in their organization, covering habits of servant leaders, how to create a servant leader culture, and how to manage effectively. Upon completing this course, you'll have a greater understanding of how to operate as a servant leader, and shift your focus from yourself to your employees and what you're ultimately trying to accomplish.",Course,2019-01-25 16:31 UTC,N/A,false,N/A,
Fundamentals of Sustainable Supply Chains,"Sustainability is a major concern across all realms of commerce these days.
And as it turns out, the majority of greenhouse gas emissions are found in the supply chain: Product sourcing, manufacturing, distribution, and delivery have a huge impact on air, soil, and water. So when it comes to sustainability, it’s largely the responsibility of supply chain professionals to identify areas of impact where small changes can make a big difference. In this course, Sarah Barnes-Humphrey shares case studies, real world examples, and lessons from her 20 years of experience to give you practical advice on what you need to do to start building an effective and measurable sustainability plan that your whole business buys into. As Sarah shows, a thorough sustainability program won’t only have a positive environmental impact, it also touches on areas like human rights, ethical labor practices, and anti-corruption. Plus, it can reduce costs, create efficiency, mitigate risk, and increase brand value.",Course,2021-11-11 23:08 UTC,N/A,false,N/A,
Apple Watch Tips and Tricks,"Apple Watch has evolved. The latest watchOS makes it even more convenient to manage messages, activities, and notification directly from your device. But even if you wear one daily, you might not be using all of its most helpful features. Get the most out of your Apple Watch with these practical tips and tricks. Garrick Chow explores the features and capabilities of the latest Apple watchOS, including messaging, app management, voice control with Siri, staying fit and safe, and other valuable pointers. He also shows how to customize your unlock settings and haptic strength, so the Apple Watch responds perfectly to your touch.",Course,2020-12-04 01:48 UTC,N/A,false,N/A,
Overcoming Imposter Syndrome,"Those who experience imposter syndrome often believe they are inferior to others or have faked their way into positions despite impressive accomplishments. Up to 70% of both women and men, especially high-achievers, experience imposter syndrome at some point in their career. This false belief system leads some people to self-sabotage, turn down career and growth opportunities, and limit their own career trajectories. Join instructor Carolyn Goerner as she explains the different types of imposter syndrome and shares constructive ways you can begin to overcome this negative thought cycle.",Course,2021-03-04 02:52 UTC,N/A,false,N/A,
Strategic Partnerships: Ecosystems and Platforms,"No firm can go it alone today—your success depends on working with partners. That is how Microsoft, Apple, Google, Amazon, and other leading companies won in their markets. Partnership expert Ben Gomes-Casseres explains how to gain an edge in the market by collaborating with multiple partners in your business ecosystem. Learn the fundamentals of ecosystem strategies, including building network advantages, selecting partners, organizing your group, igniting growth, and sharing value with your partners. Ben also reviews how to launch and scale a digital platform that connects the many players in your ecosystem.",Course,2021-03-11 03:50 UTC,N/A,false,N/A,
Addiction: A Community Issue,"Addiction is a public health issue that impacts us both at work and at home. But while this problem is widespread, the stigma surrounding addiction can make seeking help a challenge. This brief course was designed to help demystify addiction and provide employees with strategies, tools, and resources for helping themselves and others in their community.<br/><br/>Dr. Srini Pillay, a Harvard-trained psychologist, details the difference between recreational behavior and addiction to help you determine whether you or someone you know should seek help. Dr. Pillay shares how to address addiction in yourself or an employee, as well as how to appraise what level of care you or others need and when to approach specific care providers. He explains how addiction can also be present in our relationships with work, technology, food, shopping, and other seemingly benign areas of life. Plus, he helps you evaluate the merits of mobile apps and other new approaches for managing addiction.",Course,2021-02-20 21:02 UTC,N/A,false,N/A,
Empathy for Sales Professionals,"Empathy is a key skill for creating deeper connections and relationships—the building blocks of sales. With empathy, salespeople can achieve a deeper understanding of what prospects are going through and connect better with existing customers. In this course, workforce innovation specialist Sophie Wade quantifies the effect of empathy on sales and shows sales leaders how to incorporate empathy into the management and training of sales teams. Learn how to use empathy to distribute responsibility and improve team performance, and help your reps deepen customer relationships and increase sales. Sophie also shows how to improve empathy on a division-wide level by creating conditions that help an open-minded, empathetic organization thrive.",Course,2021-02-24 02:18 UTC,N/A,false,N/A,
Seán Duggan's Fire and Ice Photo Composite: Start to Finish,"Landscape and fine art photographer Seán Duggan has long been drawn to Iceland's primal landscape, where great light, ice, and mountains meet. While he loves taking photographs that stand on their own, he also keeps an eye out for shots he can combine into imaginary landscapes, driven by story and metaphor. In this short documentary, we follow Seán from shooting the ice flows and volcanoes of the Icelandic wilderness to compositing into his images into a new creation, ""Fire and Ice,"" using Photoshop. Follow along with the entire process—start to finish—only on lynda.com.",Course,2019-12-31 01:10 UTC,N/A,false,N/A,
Voice-Over for Video and Animation,"Voice acting (voice-over) is more than just funny voices. This course prepares voice actors and directors for what is expected in a recording session and provides tips to improve anyone's voiceover skills. Director and storyboard artist Mark Simon reveals the industry standards for producing better voice sessions, as well as techniques to improve line readings and create a winning demo reel. He also covers the nuts and bolts of recording, delivering, and backing up audio files, and achieving that professional sound for personal projects at a home studio or office.",Course,2020-03-27 14:30 UTC,N/A,false,N/A,
Following Up after a Sales Meeting,"When it comes to closing deals, stellar presentations aren’t always enough to clinch a sale. Effectively following up with prospects after a sales meeting is critical—and failing to do so can cause a once-promising deal to go cold. In this course, Steve Benson, a top sales coach and expert, shares practical strategies for following up with prospects in a way that keeps the momentum of a great sales meeting going. Learn the ingredients for a powerful follow-up; how to tackle common objections such as “I’ll think about it”; and how to evade common pitfalls, including which phrases to avoid in your follow-up email or calls.",Course,2020-04-27 03:53 UTC,N/A,false,N/A,
Leading with Emotional Intelligence,"Emotions are all around us in the office, and it's important for leaders to understand how to harness them to cultivate productivity and positive relationships. In this course, Britt Andreatta shares how to boost your emotional quotient (EQ) to better lead teams, work with peers, and manage up. Learn what emotional intelligence is and how it factors in at work, and discover concrete techniques for raising your own EQ. This includes perceiving yourself accurately, exercising emotional self-control, understanding and managing your triggers, and developing empathy. Then, turn those lessons around to build your awareness of others and become a more inspiring—and effective—leader.",Course,2019-04-01 21:28 UTC,N/A,false,N/A,
Accounting Foundations,"Accounting uses financial information from the past to make decisions in the present to change the future. This course provides an introduction to the four basic types of accounting—bookkeeping and financial, managerial, and tax accounting—and explains the links between accounting, decision-making, business performance, and financial health. Accounting professors Jim and Kay Stice review the three primary financial statements, using actual examples from companies like Walmart. They show how businesses use managerial accounting to build budgets and determine the cost of products, and explain how income taxes, credits, and deductions are calculated in the United States. The course is self-contained; there are no prerequisites or specialized knowledge required to follow along. By the end, you should have a better understanding of accounting and how it affects your business or personal finance.",Course,2021-05-21 18:57 UTC,N/A,false,N/A,
